Label,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Subsample,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.67,7,35%,0.914279004,0.58859994,0.69834834,0.637623297
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.67,7,35%,0.927289896,0.591328784,0.711542032,0.643273013
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.67,7,35%,0.939942803,0.605093587,0.735239101,0.663170441
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.67,7,35%,0.92962963,0.595139301,0.717400874,0.648773716
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.83,7,35%,0.873735481,0.601806452,0.647862309,0.647841154
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.83,7,35%,0.895021137,0.620380921,0.673673086,0.673673086
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.83,7,35%,0.898646522,0.614639397,0.667699598,0.667663257
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.83,7,35%,0.907054337,0.635392321,0.693155209,0.693206198
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.83,7,35%,0.905555556,0.628938907,0.685895262,0.685793614
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,8,40%,0.602657957,0.877069333,0.649401737,0.649401737
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,8,40%,0.613107215,0.876695438,0.661791319,0.661769239
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,8,40%,0.621637314,0.884361233,0.672971033,0.673000138
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,8,40%,0.624131944,0.899874844,0.678973717,0.678973717
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,8,40%,0.625502585,0.881781377,0.676923077,0.676923077
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,8,40%,0.56452126,0.872643829,0.599737748,0.599737748
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,8,40%,0.581197753,0.871557748,0.621827775,0.621802117
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,8,40%,0.59495549,0.883259912,0.640886359,0.64091973
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,8,40%,0.601253204,0.880684189,0.648310388,0.648310388
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,8,40%,0.594774875,0.866396761,0.63805668,0.63805668
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,8,40%,0.744044468,0.46074414,0.651122767,0.651122767
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,8,40%,0.622285714,0.895191122,0.67597033,0.675947806
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,8,40%,0.805092593,0.478799559,0.68142677,0.681398871
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,8,40%,0.804542326,0.48769295,0.684605757,0.684605757
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,8,40%,0.832865169,0.480161943,0.691902834,0.691902834
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,8,40%,0.891657105,0.560189476,0.647417098,0.595803967
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,8,40%,0.904233457,0.579786533,0.681217893,0.624473441
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,8,40%,0.912995595,0.581856466,0.689905215,0.628390472
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,8,40%,0.933667084,0.591437632,0.717005945,0.644347101
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,8,40%,0.910931174,0.585327784,0.692298928,0.632793522
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,8,40%,0.891493198,0.560189476,0.643992788,0.643992788
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,8,40%,0.871557748,0.579786533,0.659941602,0.65991986
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,8,40%,0.887665198,0.581856466,0.667737859,0.66776814
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,8,40%,0.904881101,0.591437632,0.678973717,0.678973717
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,8,40%,0.88097166,0.585327784,0.673279352,0.673279352
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,9,45%,0.596992779,0.879224942,0.642846737,0.642846737
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,9,45%,0.613175463,0.88913242,0.664109589,0.664109589
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,9,45%,0.613594198,0.890575275,0.66494011,0.664912495
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,9,45%,0.617268041,0.888353116,0.668870662,0.668829965
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,9,45%,0.624239351,0.8862491,0.676577787,0.676502339
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,9,45%,0.559116941,0.881847319,0.593240093,0.593240093
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,9,45%,0.583191644,0.877077626,0.625114155,0.625114155
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,9,45%,0.583788255,0.863892289,0.624065577,0.624036226
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,9,45%,0.59049545,0.866468843,0.632900717,0.632857408
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,9,45%,0.599704579,0.876889849,0.645998881,0.645915797
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,9,45%,0.79684936,0.353729604,0.631774476,0.631774476
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,9,45%,0.768851954,0.456255708,0.659543379,0.659543379
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,9,45%,0.623743826,0.896450428,0.677911949,0.677885204
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,9,45%,0.622547737,0.882789318,0.673875193,0.673836455
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,9,45%,0.633178774,0.884809215,0.6862895,0.686218064
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,9,45%,0.88986014,0.552460203,0.634763035,0.584498834
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,9,45%,0.921278539,0.575799087,0.689497717,0.621278539
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,9,45%,0.916034272,0.577825818,0.687732968,0.623424305
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,9,45%,0.919139466,0.579242637,0.691863471,0.625811237
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,9,45%,0.910727142,0.584025854,0.690871002,0.631162289
